map                   	QALD2_tr-40	0.0918
map                   	QALD2_tr-41	0.0000
map                   	QALD2_tr-42	0.0315
map                   	QALD2_tr-43	0.0432
map                   	QALD2_tr-44	0.2995
map                   	QALD2_tr-45	0.1575
map                   	QALD2_tr-47	0.3958
map                   	QALD2_tr-49	0.0115
map                   	QALD2_tr-50	0.0385
map                   	QALD2_tr-51	0.0000
map                   	QALD2_tr-52	0.0064
map                   	QALD2_tr-53	0.0000
map                   	QALD2_tr-54	0.0542
map                   	QALD2_tr-55	0.2496
map                   	QALD2_tr-57	0.3465
map                   	QALD2_tr-58	0.0000
map                   	QALD2_tr-59	0.0001
map                   	QALD2_tr-6	0.0037
map                   	QALD2_tr-61	0.1047
map                   	QALD2_tr-62	0.0105
map                   	QALD2_tr-63	0.0439
map                   	QALD2_tr-64	0.0101
map                   	QALD2_tr-65	0.2331
map                   	QALD2_tr-68	0.0455
map                   	QALD2_tr-69	0.0327
map                   	QALD2_tr-70	0.1051
map                   	QALD2_tr-71	0.5367
map                   	QALD2_tr-72	0.3743
map                   	QALD2_tr-73	0.4809
map                   	QALD2_tr-74	0.0122
map                   	QALD2_tr-75	0.0041
map                   	QALD2_tr-77	0.0307
map                   	QALD2_tr-78	0.0314
map                   	QALD2_tr-79	0.4582
map                   	QALD2_tr-8	0.0493
map                   	QALD2_tr-80	0.0000
map                   	QALD2_tr-81	0.0406
map                   	QALD2_tr-82	0.0870
map                   	QALD2_tr-83	0.2224
map                   	QALD2_tr-84	0.0165
map                   	QALD2_tr-85	0.7823
map                   	QALD2_tr-86	0.0221
map                   	QALD2_tr-87	0.1974
map                   	QALD2_tr-89	0.0001
map                   	QALD2_tr-9	0.0062
map                   	QALD2_tr-91	0.0019
map                   	QALD2_tr-92	0.0000
map                   	SemSearch_ES-1	0.3979
map                   	SemSearch_ES-10	0.4943
map                   	SemSearch_ES-100	0.1115
map                   	SemSearch_ES-101	0.5208
map                   	SemSearch_ES-102	0.2343
map                   	SemSearch_ES-104	0.2476
map                   	SemSearch_ES-106	0.8667
map                   	SemSearch_ES-107	1.0000
map                   	SemSearch_ES-108	1.0000
map                   	SemSearch_ES-109	0.3950
map                   	SemSearch_ES-11	0.9216
